ADAMTS9-AS2
BHLHE40-AS1
CARMN
CASC15
CASC19
CDKN2B-AS1
CRNDE
CYTOR
DNM3OS
DRAIC
EGFR-AS1
FENDRR
FTX
GABPB1-AS1
GATA6-AS1
H19
HAND2-AS1
HELLPAR
HHIP-AS1
HIF1A-AS3
HOTAIRM1
HOXB-AS3
HYMAI
IGFL2-AS1
KCNQ1OT1
LINC00261
LINC00342
LINC00472
LINC00520
LINC00632
LINC00685
LINC01088
LINC01133
LINC01220
LINC01559
LINC02381
LINC02605
LUCAT1
MEG3
MEG8
MIAT
MIR7-3HG
MIR22HG
MIR99AHG
MIR100HG
MIR181A1HG
MIR194-2HG
MIR205HG
MIR222HG
MIR503HG
MIR4435-2HG
NEAT1
NR2F2-AS1
PURPL
RMST
SNHG12
SNHG14
STARD4-AS1
UCA1
UNC5B-AS1
ZNF528-AS1
A1BG
A2M
AADAC
ABCA1
ABCA7
ABCB1
ABCC2
ABCC8
ABCG1
ABCG2
ABI3BP
ACAT2
ACE2
ACHE
ACKR3
ACP5
ACSL1
ACSL5
ACSS2
ACTA1
ACTA2
ACTC1
ACTG2
ADAM8
ADAM12
ADAM28
ADAMTS1
ADAMTS5
ADAMTS6
ADAMTS9
ADAMTS18
ADGRF1
ADGRF5
ADGRL3
ADGRL4
ADH1B
ADH1C
ADIRF
ADM
ADRA2A
AFF3
AFP
AGPAT2
AGR2
AGR3
AGT
AGTR1
AHNAK
AHNAK2
AIF1
AKAP12
AKR1B10
AKR1C1
AKR1C2
AKR1C3
ALB
ALCAM
ALDH1A1
ALDH1A2
ALDH1A3
ALDH3A1
ALDOB
ALDOC
ALKAL2
ALOX5
ALOX15B
ALPI
AMBP
AMIGO2
AMN
AMOTL2
ANG
ANGPT1
ANGPT2
ANGPTL4
ANK2
ANKRD1
ANKRD36C
ANKRD37
ANKRD45
ANLN
ANO1
ANOS1
ANPEP
ANXA1
ANXA2
ANXA3
ANXA4
ANXA6
ANXA10
ANXA13
AOC1
APCDD1
APLN
APLP1
APOA1
APOA2
APOA4
APOB
APOBEC1
APOBEC3A
APOC1
APOC2
APOC3
APOD
APOE
APOL1
APOLD1
APOM
AQP1
AQP3
AQP5
ARC
AREG
ARG2
ARHGAP11A
ARHGAP28
ARHGAP29
ARHGDIB
ARID3A
ARID5B
ARL4A
ARL4C
ARL6IP1
ARL14
ARRDC3
ARRDC4
ARX
ASCL1
ASCL2
ASF1B
ASGR1
ASNS
ASPM
ASS1
ATAD2
ATAD5
ATCAY
ATF3
ATOH1
ATOH8
ATP1B1
ATP1B2
ATP2A3
ATP2B4
ATP10B
AURKA
AURKB
AXL
AZGP1
B2M
B3GALT5
B4GALT1
BAALC
BAAT
BAMBI
BASP1
BBC3
BCAM
BCAS1
BCAT1
BCHE
BCL2A1
BCL11A
BCO2
BDKRB1
BDNF
BEST4
BEX1
BEX5
BGN
BHLHE40
BHLHE41
BICC1
BIK
BIRC3
BIRC5
BMP2
BMP3
BMP4
BMP5
BNC2
BNIP3
BNIP5
BOC
BPIFB1
BRCA1
BRCA2
BST2
BTBD17
BTG2
BUB1
BUB1B
C1orf56
C1QL1
C1R
C1S
C2CD4A
C2CD4B
C2orf88
C3
C3orf85
C6orf15
C6orf141
C7
C8G
C9orf24
C11orf86
C11orf96
C12orf75
C14orf132
C15orf48
C17orf78
C19orf33
C21orf58
CA1
CA2
CA3
CA4
CA7
CA8
CA9
CA12
CACNA1A
CACNA2D1
CACNB4
CADM1
CADM2
CADPS
CALB1
CALB2
CALCA
CALCRL
CALD1
CALY
CAMK2B
CAMK2N1
CAPN6
CAPN8
CAPN9
CAPS
CARD16
CARTPT
CAV1
CAVIN1
CAVIN2
CAVIN3
CBLN2
CCBE1
CCDC3
CCDC80
CCDC88A
CCDC168
CCK
CCL2
CCL4
CCL5
CCL15
CCL20
CCL26
CCL28
CCN1
CCN2
CCN3
CCN4
CCNA1
CCNA2
CCNB1
CCNB2
CCND1
CCND2
CD9
CD14
CD24
CD36
CD44
CD52
CD55
CD68
CD69
CD70
CD74
CD83
CD93
CD248
CDA
CDC6
CDC20
CDC20B
CDC25B
CDC42EP3
CDCA2
CDCA3
CDCA7
CDCA8
CDH2
CDH5
CDH6
CDH8
CDH11
CDH13
CDH17
CDHR2
CDHR3
CDHR5
CDK1
CDK6
CDKN1A
CDKN1C
CDKN2A
CDKN2B
CDKN3
CDX1
CDX2
CEACAM1
CEACAM5
CEACAM6
CEACAM7
CEBPB
CEBPD
CELA3A
CELA3B
CELF2
CELF3
CEMIP
CENPA
CENPE
CENPF
CENPK
CENPM
CENPU
CENPW
CEP55
CES1
CES2
CFAP126
CFB
CFC1
CFH
CFI
CFTR
CGA
CGNL1
CH25H
CHAC1
CHGA
CHGB
CHI3L1
CHODL
CHP2
CHST2
CHST5
CHST9
CIDEB
CIDEC
CITED2
CKAP2
CKAP2L
CKB
CKS1B
CKS2
CLCA1
CLDN1
CLDN2
CLDN3
CLDN4
CLDN5
CLDN6
CLDN7
CLDN10
CLDN11
CLDN18
CLDN23
CLEC2B
CLIC3
CLIC5
CLMP
CLPS
CLSPN
CLSTN2
CLTRN
CLU
CNIH2
CNKSR3
CNMD
CNN1
CNTFR
COL1A1
COL1A2
COL2A1
COL3A1
COL4A1
COL4A2
COL5A1
COL5A2
COL6A1
COL6A2
COL6A3
COL7A1
COL8A1
COL9A3
COL11A1
COL11A2
COL12A1
COL14A1
COL15A1
COL16A1
COL17A1
COL18A1
COL21A1
COL25A1
COL27A1
COLEC11
COLEC12
COMP
COTL1
CP
CPA2
CPB1
CPE
CPED1
CPM
CPS1
CPXM2
CRABP1
CRABP2
CREB3L1
CREB3L3
CREB5
CREBRF
CRH
CRIP1
CRIP2
CRISPLD2
CRLF1
CRMP1
CRYAB
CRYBA2
CSF1
CSF2
CSGALNACT1
CSKMT
CSRP2
CST1
CST6
CSTA
CTHRC1
CTNNB1
CTSC
CTSD
CTSE
CTSH
CTSK
CTSL
CTSS
CTSV
CX3CL1
CXCL1
CXCL2
CXCL3
CXCL5
CXCL6
CXCL8
CXCL10
CXCL12
CXCL14
CXCL17
CXCR4
CXXC4
CYBRD1
CYGB
CYP1A1
CYP1B1
CYP2C9
CYP2C19
CYP2W1
CYP3A4
CYP3A5
CYP3A7
CYP4F3
CYP26A1
CYP26B1
CYP27A1
CYTL1
DAB2
DACH1
DACT1
DBP
DCC
DCLK1
DCN
DCX
DDC
DDIT3
DDIT4
DDR2
DDX60
DEFA6
DEFB1
DEPDC1
DEPP1
DES
DHFR
DHRS2
DHRS9
DIAPH3
DIO2
DIO3
DIRAS3
DKK1
DKK2
DKK3
DLC1
DLGAP5
DLK1
DLL1
DLL4
DLX5
DMBT1
DMD
DNAH11
DNAH12
DNAJB1
DNAJB9
DNAJC12
DNASE1
DNMT1
DOK5
DPEP1
DPP4
DPYSL2
DPYSL3
DSC3
DSEL
DST
DTL
DTYMK
DUOX2
DUOXA2
DUSP1
DUSP2
DUSP4
DUSP5
DUSP6
DUSP8
DUSP10
DUT
EBF1
EBF2
ECEL1
ECM1
ECT2
EDIL3
EDN1
EDN2
EDN3
EDNRA
EDNRB
EEF1A2
EFEMP1
EFEMP2
EFNA1
EFNA5
EFNB2
EGFL6
EGFL7
EGLN3
EGR1
EGR2
EGR3
EGR4
ELAVL2
ELAVL3
ELAVL4
ELF3
ELN
EMCN
EMILIN1
EMP1
EMP2
EMP3
ENC1
ENG
ENO2
ENPP1
ENPP2
ENPP7
ENTPD8
EPHA2
EPHA3
EPHA4
EPHA7
EPHB6
EPS8L1
EPSTI1
EREG
ERICH4
ERO1A
ERO1B
ERRFI1
ESAM
ESCO2
ETS1
ETV1
F2RL1
F3
F5
F10
FABP1
FABP2
FABP3
FABP5
FABP6
FABP7
FADS1
FAM3B
FAM3D
FAM13A
FAM20A
FAM43A
FAM83D
FAM110B
FAM111B
FAM177B
FAP
FASN
FAT3
FAT4
FBLN1
FBLN2
FBLN5
FBN1
FBN2
FBXO2
FBXO5
FBXO32
FCGBP
FDPS
FEN1
FER1L6
FEV
FEZ1
FGA
FGB
FGF7
FGF9
FGF14
FGF18
FGF19
FGFBP1
FGFR1
FGG
FGL2
FHL1
FHL2
FIBIN
FILIP1
FILIP1L
FJX1
FKBP11
